Site_ID,Piezo_ID,Date/Time,deltaH(m),deltaz(m),fittedHK(m/d),flux (m/d),Piezo_ID,Date/Time,deltaH(m),deltaz(m),fittedHK(m/d),flux (m/d),Site_ID,Piezo_ID,Date/Time,deltaH(m),deltaz(m),fittedHK(m/d),flux (m/d),Piezo_ID,Date/Time,deltaH(m),deltaz(m),fittedHK(m/d),flux (m/d),Site_ID,Piezo_ID,Date/Time,deltaH(m),deltaz(m),fittedHK(m/d),flux (m/d),Piezo_ID,Date/Time,deltaH(m),deltaz(m),fittedHK(m/d),flux (m/d),Piezo_ID,Date/Time,deltaH(m),deltaz(m),fittedHK(m/d),flux (m/d)
SL-A,A9,8/13/21 12:45,-0.090680015,0.58781,7.5,1.157006707,A12D,8/13/21 12:45,-0.027754961,0.498,15.9,0.886152355,SL-B,B11,8/13/21 13:00,-0.0516306,0.457,1.2,0.135572693,B13,8/13/21 13:00,-0.060231932,0.457,2,0.263597078,KL,PZ5,8/5/19 0:54,0.114906505,0.45,0.5,-0.127673895,PZ7,8/5/19 0:54,0.059593912,0.45,0.4,-0.052972366,PZ9,8/5/19 1:14,0.022670234,0.45,0.5,-0.025189149
SL-A,A9,8/13/21 13:00,-0.062980015,,,0.803576176,A12D,8/13/21 13:00,-0.005054961,,,0.161393319,SL-B,B11,8/13/21 13:15,-0.0474306,,,0.124544246,B13,8/13/21 13:15,-0.055031932,,,0.240839966,KL,PZ5,8/5/19 0:59,0.109857891,,,-0.122064323,PZ7,8/5/19 0:59,0.062739755,,,-0.055768671,PZ9,8/5/19 1:19,0.020385516,,,-0.022650573
SL-A,A9,8/13/21 13:15,-0.049780015,,,0.635154407,A12D,8/13/21 13:15,-0.011854961,,,0.378501753,SL-B,B11,8/13/21 13:30,-0.0371306,,,0.097498295,B13,8/13/21 13:30,-0.049731932,,,0.217645218,KL,PZ5,8/5/19 1:04,0.107427328,,,-0.119363698,PZ7,8/5/19 1:04,0.070552266,,,-0.062713125,PZ9,8/5/19 1:24,0.018100797,,,-0.020111997
SL-A,A9,8/13/21 13:30,-0.043480015,,,0.55477129,A12D,8/13/21 13:30,-0.013554961,,,0.432778861,SL-B,B11,8/13/21 13:45,-0.0442306,,,0.116141621,B13,8/13/21 13:45,-0.044831932,,,0.196201017,KL,PZ5,8/5/19 1:09,0.104996766,,,-0.116663073,PZ7,8/5/19 1:09,0.078364776,,,-0.069657579,PZ9,8/5/19 1:29,0.017864693,,,-0.019849659
SL-A,A9,8/13/21 13:45,-0.043580015,,,0.556047213,A12D,8/13/21 13:45,-0.022654961,,,0.72332103,SL-B,B11,8/13/21 14:00,-0.0362306,,,0.095135056,B13,8/13/21 14:00,-0.038831932,,,0.169942811,KL,PZ5,8/5/19 1:14,0.102566203,,,-0.113962448,PZ7,8/5/19 1:14,0.082080057,,,-0.072960051,PZ9,8/5/19 1:34,0.021295255,,,-0.023661395
SL-A,A9,8/13/21 14:00,-0.026580015,,,0.339140389,A12D,8/13/21 14:00,-0.002654961,,,0.084766813,SL-B,B11,8/13/21 14:15,-0.0400306,,,0.105113174,B13,8/13/21 14:15,-0.038631932,,,0.169067538,KL,PZ5,8/5/19 1:19,0.102330099,,,-0.11370011,PZ7,8/5/19 1:19,0.079795339,,,-0.07092919,PZ9,8/5/19 1:39,0.024725818,,,-0.027473131
SL-A,A9,8/13/21 14:15,0.001619985,,,-0.020669754,A12D,8/13/21 14:15,-0.003454961,,,0.110308982,SL-B,B11,8/13/21 14:30,-0.0417306,,,0.109577069,B13,8/13/21 14:30,-0.043331932,,,0.189636465,KL,PZ5,8/5/19 1:24,0.102093995,,,-0.113437772,PZ7,8/5/19 1:24,0.07751062,,,-0.068898329,PZ9,8/5/19 1:44,0.024059151,,,-0.02673239
SL-A,A9,8/13/21 14:30,-0.032080015,,,0.409316126,A12D,8/13/21 14:30,0.102845039,,,,SL-B,B11,8/13/21 14:45,-0.0382306,,,0.100386697,B13,8/13/21 14:45,-0.040831932,,,0.178695546,KL,PZ5,8/5/19 1:29,0.101857891,,,-0.113175434,PZ7,8/5/19 1:29,0.075225901,,,-0.066867468,PZ9,8/5/19 1:49,0.024392484,,,-0.02710276
SL-A,A9,8/13/21 14:45,-0.028580015,,,0.364658839,A12D,8/13/21 14:45,-0.015654961,,,0.499827054,SL-B,B11,8/13/21 15:00,-0.0366306,,,0.096185384,B13,8/13/21 15:00,-0.038231932,,,0.16731699,KL,PZ5,8/5/19 1:34,0.103239839,,,-0.114710932,PZ7,8/5/19 1:34,0.076607849,,,-0.068095866,PZ9,8/5/19 1:54,0.024725818,,,-0.027473131
SL-A,A9,8/13/21 15:00,-0.027980015,,,0.357003304,A12D,8/13/21 15:00,-0.019054961,,,0.608381271,SL-B,B11,8/13/21 15:15,-0.0347306,,,0.091196325,B13,8/13/21 15:15,-0.036331932,,,0.159001892,KL,PZ5,8/5/19 1:39,0.104621787,,,-0.11624643,PZ7,8/5/19 1:39,0.077989797,,,-0.069324264,PZ9,8/5/19 1:59,0.02915638,,,-0.032395978
SL-A,A9,8/13/21 15:15,-0.024080015,,,0.307242327,A12D,8/13/21 15:15,-0.014154961,,,0.451935488,SL-B,B11,8/13/21 15:30,-0.0481306,,,0.126382321,B13,8/13/21 15:30,-0.044731932,,,0.19576338,KL,PZ5,8/5/19 1:44,0.106003735,,,-0.117781927,PZ7,8/5/19 1:44,0.081420359,,,-0.072373653,PZ9,8/5/19 2:04,0.032253609,,,-0.035837344
SL-A,A9,8/13/21 15:30,-0.033480015,,,0.427179041,A12D,8/13/21 15:30,-0.026554961,,,0.847839102,SL-B,B11,8/13/21 15:45,-0.0366306,,,0.096185384,B13,8/13/21 15:45,-0.034231932,,,0.14981152,KL,PZ5,8/5/19 1:49,0.108385682,,,-0.120428536,PZ7,8/5/19 1:49,0.085850922,,,-0.076311931,PZ9,8/5/19 2:09,0.035350839,,,-0.03927871
SL-A,A9,8/13/21 15:45,-0.023980015,,,0.305966404,A12D,8/13/21 15:45,-0.019054961,,,0.608381271,SL-B,B11,8/13/21 16:00,0.193836874,,,,B13,8/13/21 16:00,-0.035431932,,,,KL,PZ5,8/5/19 1:54,0.11076763,,,-0.123075145,PZ7,8/5/19 1:54,0.090281484,,,-0.080250208,PZ9,8/5/19 2:14,0.032302224,,,-0.03589136
SL-A,A9,8/13/21 16:00,-0.021180015,,,0.270240575,A12D,8/13/21 16:00,-0.058254961,,,1.859947536,SL-B,B11,8/13/21 16:15,-0.0555306,,,0.145813393,B13,8/13/21 16:15,-0.033131932,,,0.144997516,KL,PZ5,8/5/19 1:59,0.113149578,,,-0.125721754,PZ7,8/5/19 1:59,0.088566203,,,-0.078725514,PZ9,8/5/19 2:19,0.023586943,,,-0.026207714
SL-A,A9,8/13/21 16:15,-0.020880015,,,0.266412807,A12D,8/13/21 16:15,-0.017954961,,,0.573260789,SL-B,B11,8/13/21 16:30,-0.0381306,,,0.100124115,B13,8/13/21 16:30,-0.027731932,,,0.121365131,KL,PZ5,8/5/19 2:04,0.110100964,,,-0.122334404,PZ7,8/5/19 2:04,0.085517589,,,-0.076015634,PZ9,8/5/19 2:24,0.014871661,,,-0.016524068
SL-A,A9,8/13/21 16:30,-0.020480015,,,0.261309117,A12D,8/13/21 16:30,-0.008554961,,,0.273140307,SL-B,B11,8/13/21 16:45,-0.0357306,,,0.093822146,B13,8/13/21 16:45,-0.011311955,,,0.049505273,KL,PZ5,8/5/19 2:09,0.107052349,,,-0.118947055,PZ7,8/5/19 2:09,0.082468974,,,-0.073305755,PZ9,8/5/19 2:29,0.008204995,,,-0.009116661
