Site,Piezo_ID,Date/Time,Head_(m),Piezo_ID,Date/Time,Head_(m),Piezo_ID,Date/Time,Head_(m),Specific_cond.(uS/cm),Piezo_ID,Date/Time,Head_(m),Site,Piezo_ID,Date/Time,Head_(m),Piezo_ID,Date/Time,Head_(m),Piezo_ID,Date/Time,Head_(m),Piezo_ID,Date/Time,Head_(m),Piezo_ID,Date/Time,Head_(m),Site,Piezo_ID,Date/Time,Head_(m),Piezo_ID,Date/Time,Head_(m),Specific_cond.(uS/cm),Piezo_ID,Date/Time,Head_(m),Specific_cond.(uS/cm),Piezo_ID,Date/Time,Head_(m),Specific_cond.(uS/cm),Piezo_ID,Date/Time,Head_(m),Specific_cond.(uS/cm),Piezo_ID,Date/Time,Head_(m),Specific_cond.(uS/cm)
SL-A,A5,8/13/21 12:30,0.315332366,A9d,8/13/21 12:45,0.13569514,A9s,8/13/21 17:45,0.273041766,21847.76,A12,8/13/21 12:45,0.089192267,SL-B,B2,8/13/21 13:15,0.410102235,B5,8/13/21 13:15,0.30734565,B8,8/13/21 13:00,0.231970178,B11,8/13/21 13:00,0.112569698,B13,8/13/21 13:00,0.12117103,KL,Pz1,8/5/19 1:00,0.314,Pz2,8/5/19 0:28,0.507,433.1,Pz3,8/4/19 22:59,-0.229,,Pz5,8/5/19 0:16,-0.216128839,47884.6,Pz7,8/5/19 0:24,-0.046093828,38069,Pz9,8/5/19 0:38,-0.035850755,33785.7
SL-A,A5,8/13/21 12:45,0.276944352,A9d,8/13/21 13:00,0.123919113,A9s,8/13/21 18:00,0.262775727,26037.29,A12,8/13/21 13:00,0.08241624,SL-B,B2,8/13/21 13:30,0.403430316,B5,8/13/21 13:30,0.300673732,B8,8/13/21 13:15,0.201418124,B11,8/13/21 13:15,0.118017644,B13,8/13/21 13:15,0.125618976,KL,Pz1,8/5/19 1:15,0.33,Pz2,8/5/19 0:43,0.501,485.3,Pz3,8/4/19 23:14,-0.223,,Pz5,8/5/19 0:31,-0.179253776,50183.6,Pz7,8/5/19 0:39,-0.089114734,38524.1,Pz9,8/5/19 0:53,-0.048142443,33824.6
SL-A,A5,8/13/21 13:00,0.256168325,A9d,8/13/21 13:15,0.120367059,A9s,8/13/21 18:15,0.291653752,26187.07,A12,8/13/21 13:15,0.098864185,SL-B,B2,8/13/21 13:45,,B5,8/13/21 13:45,0.300835661,B8,8/13/21 13:30,0.190746206,B11,8/13/21 13:30,0.112345726,B13,8/13/21 13:30,0.124947057,KL,Pz1,8/5/19 1:30,0.345,Pz2,8/5/19 0:58,0.489,662.3,Pz3,8/4/19 23:29,-0.229,,Pz5,8/5/19 0:46,-0.154670401,50145.2,Pz7,8/5/19 0:54,-0.095260578,38564.7,Pz9,8/5/19 1:08,-0.054288286,33858.6
SL-A,A5,8/13/21 13:15,0.242616271,A9d,8/13/21 13:30,0.11869514,A9s,8/13/21 18:30,0.264407691,26484.64,A12,8/13/21 13:30,0.105192267,SL-B,B2,8/13/21 14:00,,B5,8/13/21 14:00,0.296223675,B8,8/13/21 13:45,0.194908135,B11,8/13/21 13:45,0.131507655,B13,8/13/21 13:45,0.132108987,KL,Pz1,8/5/19 1:45,0.355,Pz2,8/5/19 1:13,0.501,801.5,Pz3,8/4/19 23:44,-0.229,,Pz5,8/5/19 1:01,-0.148524557,49960.3,Pz7,8/5/19 1:09,-0.113698109,38474.1,Pz9,8/5/19 1:23,-0.06043413,33943.9
SL-A,A5,8/13/21 13:30,0.230944352,A9d,8/13/21 13:45,0.13085707,A9s,8/13/21 18:45,0.245693707,26737.2,A12,8/13/21 13:45,0.126354197,SL-B,B2,8/13/21 14:15,0.406286253,B5,8/13/21 14:15,0.298529668,B8,8/13/21 14:00,0.196296149,B11,8/13/21 14:00,0.148895669,B13,8/13/21 14:00,0.151497001,KL,Pz1,8/5/19 2:00,0.363,Pz2,8/5/19 1:28,0.501,845.9,Pz3,8/4/19 23:59,-0.229,,Pz5,8/5/19 1:16,-0.13623287,49968.4,Pz7,8/5/19 1:24,-0.119843953,38571.4,Pz9,8/5/19 1:38,-0.072725818,33917.5
SL-A,A5,8/13/21 13:45,0.228106282,A9d,8/13/21 14:00,0.139245083,A9s,8/13/21 19:00,0.272753639,26851.54,A12,8/13/21 14:00,0.13174221,SL-B,B2,8/13/21 14:30,0.406162167,B5,8/13/21 14:30,0.300405582,B8,8/13/21 14:15,0.206602142,B11,8/13/21 14:15,0.150201662,B13,8/13/21 14:15,0.148802994,KL,Pz1,8/5/19 2:15,0.362,Pz2,8/5/19 1:43,0.489,850.9,Pz3,8/5/19 0:14,0.299,36621.8,Pz5,8/5/19 1:31,-0.148524557,49838.9,Pz7,8/5/19 1:39,-0.125989797,38563.3,Pz9,8/5/19 1:53,-0.072725818,33892.7
SL-A,A5,8/13/21 14:00,0.226494296,A9d,8/13/21 14:15,0.108551077,A9s,8/13/21 19:15,0.268997589,26911.26,A12,8/13/21 14:15,0.130048203,SL-B,B2,8/13/21 14:45,0.40755018,B5,8/13/21 14:45,,B8,8/13/21 14:30,0.212478056,B11,8/13/21 14:30,0.161077576,B13,8/13/21 14:30,0.162678908,KL,Pz1,8/5/19 2:30,0.361,Pz2,8/5/19 1:58,0.489,858.5,Pz3,8/5/19 0:29,0.257,37760.9,Pz5,8/5/19 1:46,-0.154670401,49709.3,Pz7,8/5/19 1:54,-0.138281484,38553.6,Pz9,8/5/19 2:08,-0.085017505,33882.8
SL-A,A5,8/13/21 14:15,0.225800289,A9d,8/13/21 14:30,0.151426991,A9s,8/13/21 19:30,0.259343537,27008.53,A12,8/13/21 14:30,0.032924117,SL-B,B2,8/13/21 15:00,0.401080146,B5,8/13/21 15:00,0.294323562,B8,8/13/21 14:45,0.21586607,B11,8/13/21 14:45,0.17546559,B13,8/13/21 14:45,0.178066921,KL,Pz1,8/5/19 2:45,0.373,Pz2,8/5/19 2:13,0.489,879.2,Pz3,8/5/19 0:44,0.269,38008.4,Pz5,8/5/19 2:01,-0.160816245,49588,Pz7,8/5/19 2:09,-0.132135641,38526,Pz9,8/5/19 2:23,-0.078871661,33866.3
SL-A,A5,8/13/21 14:30,0.221676203,A9d,8/13/21 14:45,0.165815004,A9s,8/13/21 19:45,0.245507578,27104.1,A12,8/13/21 14:45,0.169312131,SL-B,B2,8/13/21 15:15,0.397408228,B5,8/13/21 15:15,0.290651643,B8,8/13/21 15:00,0.221396036,B11,8/13/21 15:00,0.181995556,B13,8/13/21 15:00,0.183596887,KL,Pz1,8/5/19 3:00,0.38,Pz2,8/5/19 2:28,0.489,922.6,Pz3,8/5/19 0:59,0.257,37916.1,Pz5,8/5/19 2:16,-0.154670401,49486.7,Pz7,8/5/19 2:24,-0.144427328,38543.8,Pz9,8/5/19 2:38,-0.078871661,33866.3
SL-A,A5,8/13/21 14:45,0.222064216,A9d,8/13/21 15:00,0.17334497,A9s,8/13/21 20:00,0.237671618,26998.29,A12,8/13/21 15:00,0.180842097,SL-B,B2,8/13/21 15:30,0.399508115,B5,8/13/21 15:30,0.29775153,B8,8/13/21 15:15,0.224724117,B11,8/13/21 15:15,0.183323637,B13,8/13/21 15:15,0.184924969,KL,Pz1,8/5/19 3:15,0.376,Pz2,8/5/19 2:43,0.483,949.1,Pz3,8/5/19 1:14,0.263,38070.7,Pz5,8/5/19 2:31,-0.154670401,49393.7,Pz7,8/5/19 2:39,-0.125989797,38508.1,Pz9,8/5/19 2:53,-0.066579974,33848.2
