survey_description,x (m),z (m),True Resistivity (ohm.m),survey_description,x (m),z (m),True Resistivity (ohm.m),survey_description,x (m),z (m),True Resistivity (ohm.m)
LB_underwater_Schlumber,-0.0039,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,1.875,0.346,13.517,TB_Schumberger-DD_w/topo,1.25,0.129,6.801
LB_underwater_Schlumber,0.7461,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,2.625,0.346,9.804,TB_Schumberger-DD_w/topo,1.75,0.17,12.916
LB_underwater_Schlumber,2.2461,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,3.375,0.346,10.16,TB_Schumberger-DD_w/topo,2.25,0.223,13.923
LB_underwater_Schlumber,3.7459,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,4.125,0.346,10.385,TB_Schumberger-DD_w/topo,2.75,0.29,13.958
LB_underwater_Schlumber,5.2457,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,4.875,0.346,12.91,TB_Schumberger-DD_w/topo,3.25,0.355,9.537
LB_underwater_Schlumber,6.7456,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,5.625,0.346,14.72,TB_Schumberger-DD_w/topo,3.75,0.418,14.333
LB_underwater_Schlumber,8.2454,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,6.375,0.346,15.289,TB_Schumberger-DD_w/topo,4.25,0.469,4.864
LB_underwater_Schlumber,9.7452,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,7.125,0.346,15.719,TB_Schumberger-DD_w/topo,4.75,0.509,9.529
LB_underwater_Schlumber,11.2451,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,7.875,0.346,15.976,TB_Schumberger-DD_w/topo,5.25,0.536,7.058
LB_underwater_Schlumber,12.7449,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,8.625,0.346,15.137,TB_Schumberger-DD_w/topo,5.75,0.55,22.486
LB_underwater_Schlumber,14.2448,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,9.375,0.346,15.127,TB_Schumberger-DD_w/topo,6.25,0.631,102.72
LB_underwater_Schlumber,15.7446,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,10.125,0.346,22.341,TB_Schumberger-DD_w/topo,6.75,0.777,102.64
LB_underwater_Schlumber,17.2444,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,10.875,0.346,22.207,TB_Schumberger-DD_w/topo,7.25,0.923,556.81
LB_underwater_Schlumber,18.7443,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,11.625,0.346,20.001,TB_Schumberger-DD_w/topo,7.75,1.07,292.84
LB_underwater_Schlumber,20.2441,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,12.375,0.346,24.655,TB_Schumberger-DD_w/topo,8.25,1.141,328.5
LB_underwater_Schlumber,21.7439,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,13.125,0.346,32.29,TB_Schumberger-DD_w/topo,8.75,1.135,370.64
LB_underwater_Schlumber,23.2438,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,13.875,0.346,22.002,TB_Schumberger-DD_w/topo,9.25,1.134,294.2
LB_underwater_Schlumber,24.7436,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,14.625,0.346,32.8,TB_Schumberger-DD_w/topo,9.75,1.138,410.61
LB_underwater_Schlumber,26.2435,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,15.375,0.346,25.043,TB_Schumberger-DD_w/topo,10.25,1.182,124.11
LB_underwater_Schlumber,27.7433,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,16.125,0.346,24.452,TB_Schumberger-DD_w/topo,10.75,1.266,753.57
LB_underwater_Schlumber,29.2431,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,16.875,0.346,23.507,TB_Schumberger-DD_w/topo,11.25,1.364,93.152
LB_underwater_Schlumber,30.743,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,17.625,0.346,23.425,TB_Schumberger-DD_w/topo,11.75,1.475,125.58
LB_underwater_Schlumber,32.2428,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,18.375,0.346,21.961,TB_Schumberger-DD_w/topo,12.25,1.521,124.9
LB_underwater_Schlumber,33.7426,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,19.125,0.346,15.952,TB_Schumberger-DD_w/topo,12.75,1.504,155.83
LB_underwater_Schlumber,35.2425,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,19.875,0.346,20.398,TB_Schumberger-DD_w/topo,13.25,1.487,107.64
LB_underwater_Schlumber,36.7423,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,20.625,0.346,10.076,TB_Schumberger-DD_w/topo,13.75,1.471,109.08
LB_underwater_Schlumber,38.2422,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,21.375,0.346,17.756,TB_Schumberger-DD_w/topo,14.25,1.43,110.12
LB_underwater_Schlumber,39.742,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,22.125,0.346,12.912,TB_Schumberger-DD_w/topo,14.75,1.363,99.478
LB_underwater_Schlumber,41.2418,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,22.875,0.346,18.642,TB_Schumberger-DD_w/topo,15.25,1.329,92.989
LB_underwater_Schlumber,42.7417,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,23.625,0.346,18.617,TB_Schumberger-DD_w/topo,15.75,1.329,78.914
LB_underwater_Schlumber,44.2415,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,24.375,0.346,26.411,TB_Schumberger-DD_w/topo,16.25,1.336,103.68
LB_underwater_Schlumber,45.7413,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,25.125,0.346,14.898,TB_Schumberger-DD_w/topo,16.75,1.351,92.467
LB_underwater_Schlumber,47.2412,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,25.875,0.346,23.871,TB_Schumberger-DD_w/topo,17.25,1.329,98.105
LB_underwater_Schlumber,48.741,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,26.625,0.346,23.915,TB_Schumberger-DD_w/topo,17.75,1.271,71.737
LB_underwater_Schlumber,50.2409,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,27.375,0.346,32.571,TB_Schumberger-DD_w/topo,18.25,1.268,121.18
LB_underwater_Schlumber,51.7407,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,28.125,0.346,29.562,TB_Schumberger-DD_w/topo,18.75,1.32,118.77
LB_underwater_Schlumber,53.2405,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,28.875,0.346,22.737,TB_Schumberger-DD_w/topo,19.25,1.389,121.11
LB_underwater_Schlumber,54.7404,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,29.625,0.346,25.742,TB_Schumberger-DD_w/topo,19.75,1.476,120.55
LB_underwater_Schlumber,56.2402,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,30.375,0.346,19.456,TB_Schumberger-DD_w/topo,20.25,1.508,132.91
LB_underwater_Schlumber,57.74,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,31.125,0.346,20.571,TB_Schumberger-DD_w/topo,20.75,1.485,132.37
LB_underwater_Schlumber,59.2399,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,31.875,0.346,13.18,TB_Schumberger-DD_w/topo,21.25,1.473,132.1
LB_underwater_Schlumber,60.7397,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,32.625,0.346,13.167,TB_Schumberger-DD_w/topo,21.75,1.471,131.96
LB_underwater_Schlumber,62.2396,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,33.375,0.346,10.927,TB_Schumberger-DD_w/topo,22.25,1.498,131.47
LB_underwater_Schlumber,63.7393,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,34.125,0.346,14.315,TB_Schumberger-DD_w/topo,22.75,1.555,131.22
LB_underwater_Schlumber,65.2364,0.554,6.70E-01,SP_Schlumberger-DD_w/topo,34.875,0.346,18.12,TB_Schumberger-DD_w/topo,23.25,1.569,113.34
LB_underwater_Schlumber,66.7253,0.554,4.59E-01,SP_Schlumberger-DD_w/topo,35.625,0.346,18.706,TB_Schumberger-DD_w/topo,23.75,1.54,120.84
LB_underwater_Schlumber,68.2085,0.554,4.59E-01,SP_Schlumberger-DD_w/topo,36.375,0.346,12.636,TB_Schumberger-DD_w/topo,24.25,1.531,57.245
LB_underwater_Schlumber,69.699,0.554,4.59E-01,SP_Schlumberger-DD_w/topo,37.125,0.346,15.57,TB_Schumberger-DD_w/topo,24.75,1.541,87.576
LB_underwater_Schlumber,71.1897,0.554,4.59E-01,SP_Schlumberger-DD_w/topo,37.875,0.346,10.955,TB_Schumberger-DD_w/topo,25.25,1.528,62.331
