Lagoon_ID,Date/Time,Level_(m),Temp(℃),Specific_cond.(uS/cm),Lagoon_ID,Date/Time,Level_(m),Temp(℃),Specific_cond. (uS/cm) at Pz-8 (deep),Date/Time,Specific_cond. (uS/cm) at Pz-6 (shallow)
SL,8/13/21 12:45,0.037495086,6.987,24123.70651,KL,8/5/19 0:45,-0.0296667,8.42,35509.145,8/5/19 1:13,42561.8111
SL,8/13/21 13:00,0.053419059,6.992,24159.0085,KL,8/5/19 0:50,-0.0326667,,,8/5/19 1:28,42870.5637
SL,8/13/21 13:15,0.063067004,7.008,24221.91327,KL,8/5/19 0:55,-0.0356667,,,8/5/19 1:43,44683.3931
SL,8/13/21 13:30,0.067695086,6.957,24392.62133,KL,8/5/19 1:00,-0.0386667,8.402,35687.07,8/5/19 1:58,44738.024
SL,8/13/21 13:45,0.079757015,6.986,24442.09967,KL,8/5/19 1:05,-0.037,,,8/5/19 2:13,44987.9952
SL,8/13/21 14:00,0.105145029,6.928,24424.17314,KL,8/5/19 1:10,-0.0353333,,,8/5/19 2:28,43660.2583
SL,8/13/21 14:15,0.102651022,6.953,24620.37993,KL,8/5/19 1:15,-0.0336667,8.239,36542.672,8/5/19 2:43,42955.0225
SL,8/13/21 14:30,0.111826936,7.02,24472.36102,KL,8/5/19 1:20,-0.038,,,8/5/19 2:58,42668.4636
SL,8/13/21 14:45,0.12971495,6.969,25058.33776,KL,8/5/19 1:25,-0.0423333,,,8/5/19 3:13,43000.2996
SL,8/13/21 15:00,0.137844916,6.949,25607.84375,KL,8/5/19 1:30,-0.0466667,8.295,36012.297,8/5/19 3:28,
SL,8/13/21 15:15,0.141072997,6.968,25782.65766,KL,8/5/19 1:35,-0.0473333,,,8/5/19 3:43,42461.0312
SL,8/13/21 15:30,0.153772884,6.985,25804.75223,KL,8/5/19 1:40,-0.048,,,8/5/19 3:58,42616.0527
SL,8/13/21 15:45,0.165926936,6.974,25845.53074,KL,8/5/19 1:45,-0.0486667,8.2,36611.68,8/5/19 4:13,42659.6702
SL,8/13/21 16:00,0.186316834,6.958,25878.96614,KL,8/5/19 1:50,-0.0483333,,,8/5/19 4:28,42738.844
