Site_ID,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Site_ID,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),RMSE,Site_ID,Piezo_ID,Date/Time,flux (m/d),RMSE,Peclet,Piezo_ID,Date/Time,flux (m/d),Piezo_ID,Date/Time,flux (m/d),Piezo_ID,Date/Time,flux (m/d)
SL-A,A7,8/12/21 15:45,,1.14E-09,0.100335335,A8,8/12/21 15:45,,2.27E-11,0.131182132,A9,8/12/21 15:44,0.367492746,1.79E-09,0.255412822,A10,8/12/21 16:00,0.273008385,2.44E-10,0.189744813,A12,8/12/21 16:00,0.445342599,2.07E-10,0.309519607,A13,8/12/21 16:00,0.465189641,1.03E-09,0.32331359,SL-B,B9,8/12/21 16:26,,3.41E-09,0.143841014,B10,8/12/21 16:25,,1.81E-09,0.08592514,B11,8/12/21 16:25,0.096063734,1.44E-10,0.066765697,B12,8/12/21 16:25,0.345009436,7.82E-09,0.239786594,B13,8/12/21 16:25,,7.15E-11,0.143841037,B14,8/12/21 16:25,0.188747385,5.62E-09,KL,Pz5,8/3/19 17:40,0.042336487,3.04E-09,0.05252269,Pz6,8/3/19 17:40,0.111039148,Pz7,8/3/19 17:40,0.128306222,Pz8,8/3/19 17:40,-0.111385369
SL-A,A7,8/12/21 15:50,-0.07579734,3.25E-11,0.052680257,A8,8/12/21 15:50,-0.317858612,1.40E-10,0.220916375,A9,8/12/21 15:49,0.338125074,7.81E-09,0.235001862,A10,8/12/21 16:05,0.234111919,5.24E-11,0.162711201,A12,8/12/21 16:05,0.387759123,7.60E-13,0.26949825,A13,8/12/21 16:05,0.402592833,1.77E-10,0.279807895,SL-B,B9,8/12/21 16:31,-0.206961142,3.41E-09,0.143841014,B10,8/12/21 16:30,0.080016762,2.19E-14,0.055612818,B11,8/12/21 16:30,0.0625968,1.88E-10,0.043505689,B12,8/12/21 16:30,0.436059905,1.36E-08,0.303067999,B13,8/12/21 16:30,0.160531559,7.75E-11,0.111571776,B14,8/12/21 16:30,0.131163847,9.49E-10,KL,Pz5,8/3/19 17:45,0.00266922,9.43E-11,0.003311437,Pz6,8/3/19 17:45,0.107832068,Pz7,8/3/19 17:45,0.13430476,Pz8,8/3/19 17:45,-0.111385369
SL-A,A7,8/12/21 15:55,-0.229098587,3.32E-10,0.159226862,A8,8/12/21 15:55,-0.402592825,4.09E-10,0.27980789,A9,8/12/21 15:54,0.217463688,2.44E-10,0.151140437,A10,8/12/21 16:10,0.234111919,5.24E-11,0.162711201,A12,8/12/21 16:10,0.387759123,7.60E-13,0.26949825,A13,8/12/21 16:10,0.402592833,1.77E-10,0.279807895,SL-B,B9,8/12/21 16:36,-0.160531557,3.22E-11,0.111571775,B10,8/12/21 16:35,0.080016762,2.19E-14,0.055612818,B11,8/12/21 16:35,0.125431457,2.07E-13,0.087176694,B12,8/12/21 16:35,0.402592915,8.06E-09,0.279807952,B13,8/12/21 16:35,0.102948126,3.60E-09,0.071550451,B14,8/12/21 16:35,0.131163847,9.49E-10,KL,Pz5,8/3/19 17:50,-0.016697243,1.43E-11,0.020714618,Pz6,8/3/19 17:50,0.092039266,Pz7,8/3/19 17:50,0.13430476,Pz8,8/3/19 17:50,-0.120682759
SL-A,A7,8/12/21 16:00,-0.07579734,3.20E-11,0.052680257,A8,8/12/21 16:00,-0.317858524,6.15E-09,0.220916314,A9,8/12/21 15:59,0.338125006,4.70E-12,0.235001815,A10,8/12/21 16:15,0.330591855,4.90E-12,0.229766165,A12,8/12/21 16:15,0.387759123,7.60E-13,0.26949825,A13,8/12/21 16:15,0.402592833,1.77E-10,0.279807895,SL-B,B9,8/12/21 16:41,-0.160531557,3.22E-11,0.111571775,B10,8/12/21 16:40,0.160531572,1.58E-09,0.111571785,B11,8/12/21 16:40,0.125431457,2.07E-13,0.087176694,B12,8/12/21 16:40,0.345009372,1.35E-09,0.239786549,B13,8/12/21 16:40,0.102948126,3.60E-09,0.071550451,B14,8/12/21 16:40,0.264544647,4.96E-11,KL,Pz5,8/3/19 17:55,-0.02679635,1.19E-10,0.03324358,Pz6,8/3/19 17:55,0.087360342,Pz7,8/3/19 17:55,0.13430476,Pz8,8/3/19 17:55,-0.120682759
SL-A,A7,8/12/21 16:05,-0.144364369,3.41E-10,0.100335344,A8,8/12/21 16:05,-0.367492598,9.37E-09,0.25541272,A9,8/12/21 16:04,0.261077606,3.95E-11,0.181452747,A10,8/12/21 16:20,0.291695393,2.20E-10,0.202732556,A12,8/12/21 16:20,0.325162359,1.82E-09,0.225992585,A13,8/12/21 16:20,0.402592833,1.77E-10,0.279807895,SL-B,B9,8/12/21 16:46,-0.160531557,3.22E-11,0.111571775,B10,8/12/21 16:45,,1.82E-12,0.111571785,B11,8/12/21 16:45,0.125431457,2.07E-13,0.087176694,B12,8/12/21 16:45,0.402592835,3.61E-10,0.279807897,B13,8/12/21 16:45,0.053313975,5.35E-10,0.03705399,B14,8/12/21 16:45,0.131163854,1.44E-09,KL,Pz5,8/3/19 18:00,-0.03698243,2.49E-10,0.045880441,Pz6,8/3/19 18:00,0.074841616,Pz7,8/3/19 18:00,0.123176105,Pz8,8/3/19 18:00,-0.120682759
SL-A,A7,8/12/21 16:10,-0.144364369,3.41E-10,0.100335344,A8,8/12/21 16:10,-0.367492598,9.37E-09,0.25541272,A9,8/12/21 16:09,0.338125024,2.04E-09,0.235001827,A10,8/12/21 16:25,0.291695393,2.20E-10,0.202732556,A12,8/12/21 16:25,0.498656687,6.15E-09,0.346573675,A13,8/12/21 16:25,0.498656591,2.52E-09,0.346573609,SL-B,B9,8/12/21 16:51,-0.160531557,3.22E-11,0.111571775,B10,8/12/21 16:50,0.080016766,4.30E-10,0.05561282,B11,8/12/21 16:50,0.125431457,2.07E-13,0.087176694,B12,8/12/21 16:50,0.345009373,1.43E-09,0.23978655,B13,8/12/21 16:50,0.102948085,4.95E-13,0.071550422,B14,8/12/21 16:50,0.188747322,1.21E-09,KL,Pz5,8/3/19 18:05,-0.042294792,4.13E-10,0.052470963,Pz6,8/3/19 18:05,0.062305769,Pz7,8/3/19 18:05,0.123176105,Pz8,8/3/19 18:05,-0.122679242
SL-A,A7,8/12/21 16:15,-0.229098586,3.76E-10,0.159226861,A8,8/12/21 16:15,-0.367492598,9.37E-09,0.25541272,A9,8/12/21 16:14,0.261077606,4.61E-13,0.181452747,A10,8/12/21 16:30,0.291695393,2.20E-10,0.202732556,A12,8/12/21 16:30,0.498656687,6.15E-09,0.346573675,A13,8/12/21 16:30,0.402593003,1.65E-08,0.279808014,SL-B,B9,8/12/21 16:56,-0.160531557,3.22E-11,0.111571775,B10,8/12/21 16:55,0.116917643,5.79E-10,0.081259468,B11,8/12/21 16:55,0.125431457,2.07E-13,0.087176694,B12,8/12/21 16:55,0.436059892,1.23E-08,0.30306799,B13,8/12/21 16:55,0.102948085,4.95E-13,0.071550422,B14,8/12/21 16:55,0.188747322,1.21E-09,KL,Pz5,8/3/19 18:10,-0.042294792,4.13E-10,0.052470963,Pz6,8/3/19 18:10,0.053590753,Pz7,8/3/19 18:10,0.118358414,Pz8,8/3/19 18:10,-0.122679242
SL-A,A7,8/12/21 16:20,-0.229098586,3.76E-10,0.159226861,A8,8/12/21 16:20,-0.242061222,3.81E-09,0.168236082,A9,8/12/21 16:19,0.338125024,2.04E-09,0.235001827,A10,8/12/21 16:35,0.291695393,2.20E-10,0.202732556,A12,8/12/21 16:35,0.498656687,6.15E-09,0.346573675,A13,8/12/21 16:35,0.402593003,1.65E-08,0.279808014,SL-B,B9,8/12/21 17:01,-0.160531557,3.22E-11,0.111571775,B10,8/12/21 17:00,0.080016763,6.52E-11,0.055612818,B11,8/12/21 17:00,0.125431457,2.07E-13,0.087176694,B12,8/12/21 17:00,0.402592875,4.16E-09,0.279807924,B13,8/12/21 17:00,0.053313978,8.42E-10,0.037053993,B14,8/12/21 17:00,0.188747322,1.21E-09,KL,Pz5,8/3/19 18:15,-0.042294792,4.13E-10,0.052470963,Pz6,8/3/19 18:15,0.039378149,Pz7,8/3/19 18:15,0.118358414,Pz8,8/3/19 18:15,-0.133985107
SL-A,A7,8/12/21 16:25,-0.229098586,3.76E-10,0.159226861,A8,8/12/21 16:25,-0.242061222,3.81E-09,0.168236082,A9,8/12/21 16:24,0.291695422,3.72E-09,0.202732576,A10,8/12/21 16:40,0.291695393,2.20E-10,0.202732556,A12,8/12/21 16:40,0.498656687,6.15E-09,0.346573675,A13,8/12/21 16:40,0.402593003,1.65E-08,0.279808014,SL-B,B9,8/12/21 17:06,-0.195631658,1.37E-11,0.135966858,B10,8/12/21 17:05,0.080016763,6.52E-11,0.055612818,B11,8/12/21 17:05,0.09196453,1.02E-09,0.063916691,B12,8/12/21 17:05,0.309909295,3.61E-09,0.215391483,B13,8/12/21 17:05,0.053313978,8.42E-10,0.037053993,B14,8/12/21 17:05,0.188747322,1.21E-09,KL,Pz5,8/3/19 18:20,-0.047688086,1.31E-09,0.05916189,Pz6,8/3/19 18:20,0.034915431,Pz7,8/3/19 18:20,0.112510605,Pz8,8/3/19 18:20,-0.133985107
SL-A,A7,8/12/21 16:30,-0.229098586,3.76E-10,0.159226861,A8,8/12/21 16:30,-0.291695389,9.89E-11,0.202732553,A9,8/12/21 16:29,0.291695422,3.72E-09,0.202732576,A10,8/12/21 16:45,0.250575093,6.58E-12,0.174153347,A12,8/12/21 16:45,0.498656687,6.15E-09,0.346573675,A13,8/12/21 16:45,0.46518963,3.35E-11,0.323313583,SL-B,B9,8/12/21 17:11,-0.195631658,1.37E-11,0.135966858,B10,8/12/21 17:10,0.080016763,6.52E-11,0.055612818,B11,8/12/21 17:10,0.09196453,1.02E-09,0.063916691,B12,8/12/21 17:10,0.402592917,8.23E-09,0.279807954,B13,8/12/21 17:10,,0,0.038251717,B14,8/12/21 17:10,0.188747322,1.21E-09,KL,Pz5,8/3/19 18:25,-0.047688086,1.31E-09,0.05916189,Pz6,8/3/19 18:25,0.021086793,Pz7,8/3/19 18:25,0.107527491,Pz8,8/3/19 18:25,-0.14036879
