HK(m/d),Site,modeled-boundary-flux_at_min-lagoon-stage(m3 day-1 km-1),modeled-boundary-flux_at_avg-lagoon-stage(m3 day-1 km-1),modeled-boundary-flux_at_max-lagoon-stage(m3 day-1 km-1),Site,modeled-boundary-flux_at_min-lagoon-stage(m3 day-1 km-1),modeled-boundary-flux_at_avg-lagoon-stage(m3 day-1 km-1),modeled-boundary-flux_at_max-lagoon-stage(m3 day-1 km-1)
0.055867331,SL,10.77462487,7.182808999,2.831029782,KL,30.29263315,14.1010599,14.96803342
0.323497608,SL,64.72779143,41.59178174,16.33835663,KL,153.0828494,121.6012105,82.10985946
0.503563614,SL,101.02836,64.74269861,25.42630595,KL,235.6981053,193.9290614,127.2839727
0.636178887,SL,127.7630553,81.7929194,32.11941204,KL,296.5427087,247.1971819,160.5538691
0.963250939,SL,193.69944,123.8442652,48.62677122,KL,446.6051324,378.573554,242.6081683
1.228191095,SL,247.1102892,157.9073716,61.99832738,KL,568.1611066,484.9931527,309.0751094
1.440225925,SL,289.8556416,185.1684901,72.69974646,KL,665.4438316,570.1620522,362.269411
1.688538309,SL,339.9144001,217.0937795,85.23209731,KL,779.3708943,669.9027056,424.5648548
1.933549439,SL,389.3076393,248.5946298,97.59783354,KL,891.7833238,768.3173307,486.0320956
2.146142507,SL,432.1655302,275.9275204,108.3274269,KL,989.3221714,853.71046,539.3664453
2.365132881,SL,476.3130918,304.0829066,119.379893,KL,1089.796138,941.6732214,594.3057211
2.544572009,SL,512.4872843,327.1532264,128.4362038,KL,1172.123778,1013.749272,639.3225661
2.701842107,SL,544.1922912,347.3732948,136.3736413,KL,1244.280149,1076.920597,678.7777491
3.094164345,SL,623.2828459,397.8137956,156.1741839,KL,1424.27971,1234.506279,777.2017083
3.300063185,SL,664.7912078,424.2860156,166.565919,KL,1518.74721,1317.21051,828.8566416
3.494019371,SL,703.8919797,449.2227798,176.3549071,KL,1607.735355,1395.117686,877.5154579
3.741916748,SL,753.8670745,481.0947122,188.8663125,KL,1721.47201,1494.691642,939.7067867
4.189896423,SL,844.1779403,538.6910373,211.4758915,KL,1927.007504,1674.633475,1052.093822
4.367837521,SL,880.0501361,561.5687567,220.4565965,KL,2008.647841,1746.107805,1096.734848
4.580102887,SL,922.8419636,588.859515,231.1696507,KL,2106.036337,1831.369305,1149.986986
4.806368363,SL,968.4561559,617.9502542,242.5892919,KL,2209.848159,1922.254286,1206.751405
5.057611613,SL,1019.105765,650.2523623,255.2695639,KL,2325.119919,2023.172193,1269.782131
5.260736536,SL,1060.054917,676.3679424,265.521299,KL,2418.314731,2104.762213,1320.741157
5.537090987,SL,1115.766841,711.898574,279.4689358,KL,2545.107645,2215.766639,1390.071662
5.794412386,SL,1167.64178,744.982144,292.4559726,KL,2663.168093,2319.12598,1454.627246
6.057108935,SL,1220.600327,778.756792,305.7142937,KL,2783.694688,2424.64438,1520.531321
