Site_ID,Site_location,Piezometer_ID/Location,Location_description,Screen_Type,EASTING,NORTHING,Lateral_DISTANCE,Elevation_seabed/groundlevel-via-Total-Station(SL)_or_laser-theodolite(KL),Stick-up height-via-Total-Station(SL)_or_laser-theodolite(KL),Stick-up height-manual-measurement,Total piezometer height-manual-measurement,Screened portion length-manual-measurement,tip-manual-measurement,Length of portion underground/seabed,Piezometer_bottom_Elevation,Measurement_elevation,
SL-A,"Simpson Lagoon, Arctic Alaska",A1,Beach/Inter-tidal,Partially,401604.881,7824199.212,0,0.699,0.415,0.4,1.0287,0.24638,0.1143,0.6137,0.0853,0.32279,
SL-A,"Simpson Lagoon, Arctic Alaska",A2,Beach/Inter-tidal,Partially,401604.723,7824200.006,0.82,0.609,0.938,0.9,1.6383,0.24638,0.1143,0.7003,-0.0913,0.14619,
SL-A,"Simpson Lagoon, Arctic Alaska",A3,Beach/Inter-tidal,Partially,401604.246,7824200.403,1.36,0.597,0.9,0.9,1.6383,0.24638,0.1143,0.7383,-0.1413,0.09619,
SL-A,"Simpson Lagoon, Arctic Alaska",A4,Beach/Inter-tidal,Partially,401604.167,7824201.276,2.05,0.55,0.852,0.855,1.6383,0.24638,0.1143,0.7863,-0.2363,0.00119,
SL-A,"Simpson Lagoon, Arctic Alaska",A5,Beach/Inter-tidal,Partially,401604.326,7824201.99,2.7,0.554,0.702,0.705,1.6383,0.24638,0.1143,0.9363,-0.3823,-0.14481,
SL-A,"Simpson Lagoon, Arctic Alaska",A6,Beach/Inter-tidal,Partially,401604.485,7824202.625,3.48,0.553,0.676,0.685,1.6383,0.24638,0.1143,0.9623,-0.4093,-0.17181,
SL-A,"Simpson Lagoon, Arctic Alaska",A7S,Beach/Inter-tidal,Partially,401604.112,7824203.514,4.38,0.4,0.615,0.62,1.0287,0.24638,0.1143,0.4137,-0.0137,0.22379,
SL-A,"Simpson Lagoon, Arctic Alaska",A7D,Beach/Inter-tidal,Partially,401604.453,7824203.506,4.38,0.407,0.774,0.78,1.6383,0.24638,0.1143,0.8643,-0.4573,-0.21981,
SL-A,"Simpson Lagoon, Arctic Alaska",A8S,Beach/Inter-tidal,Partially,401604.088,7824204.601,5.48,0.251,0.633,0.64,1.0287,0.24638,0.1143,0.3957,-0.1447,0.09279,
SL-A,"Simpson Lagoon, Arctic Alaska",A8D,Beach/Inter-tidal,Partially,401604.39,7824204.546,5.48,0.259,0.794,0.8,1.6383,0.24638,0.1143,0.8443,-0.5853,-0.34781,
SL-A,"Simpson Lagoon, Arctic Alaska",A9S,Beach/Inter-tidal,Partially,401604.08,7824205.768,6.72,0.153,1.224,1.235,1.6383,0.24638,0.1143,0.4143,-0.2613,-0.02381,
SL-A,"Simpson Lagoon, Arctic Alaska",A9D,Beach/Inter-tidal,Partially,401604.424,7824205.847,6.72,0.125,0.813,0.805,1.6383,0.24638,0.1143,0.8253,-0.7003,-0.46281,
SL-A,"Simpson Lagoon, Arctic Alaska",A10S,Beach/Inter-tidal,Partially,401604.106,7824206.687,7.64,0.066,1.177,1.18,1.6383,0.24638,0.1143,0.4613,-0.3953,-0.15781,
SL-A,"Simpson Lagoon, Arctic Alaska",A10D,Beach/Inter-tidal,Partially,401604.404,7824206.753,7.64,0.069,0.926,0.93,1.6383,0.24638,0.1143,0.7123,-0.6433,-0.40581,
SL-A,"Simpson Lagoon, Arctic Alaska",A11S,Beach/Inter-tidal,Partially,401604.199,7824207.547,8.52,0.093,1.21,1.21,1.6383,0.24638,0.1143,0.4283,-0.3353,-0.09781,
SL-A,"Simpson Lagoon, Arctic Alaska",A11D,Beach/Inter-tidal,Partially,401604.45,7824207.606,8.52,0.071,1.29,1.31,2.2479,0.24638,0.1143,0.9579,-0.8869,-0.64941,
SL-A,"Simpson Lagoon, Arctic Alaska",A12S,Beach/Inter-tidal,Partially,401604.199,7824208.526,9.47,0.047,1.244,0.9,1.6383,0.24638,0.1143,0.3943,-0.3473,-0.10981,
