field_site,loc_ID,sensor_depth-below-ground_from_1st-last-(m),Date-time,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_depth-below-ground_from_1st-last-(m),Date-time,sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_depth-below-ground_from_1st-last-(m),Date-time,sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_depth-below-ground_from_1st-last-(m),Date-time,sensor1,sensor2,sensor3,sensor4,field_site,loc_ID,sensor_elev_from_1st-last-(m),Date-time,sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,field_site,loc_ID,sensor_elev_from_1st-last-(m),Date-time,sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,loc_ID,sensor_elev_from_1st-last-(m),sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
KL,Pz-5,0,8/3/19 17:40,13.305,12.847,10.98,8.717,6.357,5.565,Pz-6,0,8/3/19 16:15,12.871,10.883,9.312,7.192,Pz-7,0,8/3/19 16:25,10.59,9.435,8.494,6.94,Pz-8,0,8/3/19 16:40,11.175,10.001,9.064,7.544,SL-A,A1,0.699,8/12/21 16:00,,,,,A3,0.597,,,,,A5,0.554,,,,,A7,0.4,7.1875,6.3125,5.5625,5,4.4375,3.8125,A8,0.251,6.9375,5.875,4.6875,4.1875,3.625,2.75,A9,0.153,7.0625,6.3125,5.5,4.6875,3.1875,2.25,A10,0.066,7.0625,6.25,4.9375,3.5625,2.375,1.5625,A12,0.047,6.875,5.4375,3.625,2.25,1.4375,1,A13,-0.422,6.0625,5.25,4.125,3.1875,1.875,1.1875,SL-B,B2,0.632,8/12/21 16:00,,,,,B4,0.693,,,,,B6,0.573,,,,,B8,0.408,,,,,B9,0.339,7.4375,6.625,5.375,4.0625,3,1.9375,B10,0.263,,,,,,,B11,0.105,7.875,6.125,5.4375,4.6875,3.1875,1.9375,B12,-0.035,7.75,6.375,5.125,3.875,2.3125,1.5,B13,-0.172,,,,,,,B14,-0.427,,,,,,
KL,Pz-5,0.097,8/3/19 17:45,13.305,12.751,10.81,8.494,6.357,5.565,Pz-6,0.1,8/3/19 16:20,12.896,10.81,9.262,7.167,Pz-7,0.095,8/3/19 16:30,10.565,9.386,8.469,6.94,Pz-8,0.1,8/3/19 16:45,11.078,9.903,8.99,7.519,SL-A,A1,0.5974,8/12/21 16:05,,,,,A3,0.4954,,,,,A5,0.4524,,,,,A7,0.3,7.1875,6.3125,5.5625,5,4.4375,3.75,A8,0.151,6.9375,5.875,4.6875,4.1875,3.625,2.6875,A9,0.053,7.0625,6.3125,5.5,4.625,3.1875,2.1875,A10,-0.034,7.0625,6.25,4.875,3.5,2.375,1.5625,A12,-0.053,6.875,5.375,3.5,2.1875,1.4375,1,A13,-0.522,6.0625,5.3125,4.125,3.1875,1.875,1.125,SL-B,B2,0.5304,8/12/21 16:05,,,,,B4,0.5914,,,,,B6,0.4714,,,,,B8,0.3064,,,,,B9,0.239,7.3125,6.625,5.3125,4,3,1.8125,B10,0.163,,,,,,,B11,0.005,7.5,6.0625,5.3125,4.5625,3.125,1.8125,B12,-0.135,7.5,6.3125,4.875,3.6875,2.25,1.375,B13,-0.272,7.1875,6.375,5.0625,3.625,2.5,1.625,B14,-0.527,,,,,,
KL,Pz-5,0.197,8/3/19 17:50,13.401,12.799,10.712,8.394,6.357,5.565,Pz-6,0.2,8/3/19 16:25,12.92,10.81,9.262,7.142,Pz-7,0.195,8/3/19 16:35,10.565,9.386,8.469,6.94,Pz-8,0.198,8/3/19 16:50,11.053,9.879,8.99,7.494,SL-A,A1,0.50215,8/12/21 16:10,,,,,A3,0.3938,,,,,A5,0.3508,,,,,A7,0.2,7.1875,6.3125,5.5625,5,4.4375,3.75,A8,0.051,7,5.9375,4.6875,4.1875,3.625,2.6875,A9,-0.047,7.0625,6.375,5.5,4.625,3.125,2.1875,A10,-0.134,7.0625,6.25,4.8125,3.5,2.375,1.5625,A12,-0.153,6.8125,5.375,3.5,2.1875,1.4375,1,A13,-0.622,6.0625,5.25,4.125,3.1875,1.875,1.125,SL-B,B2,0.4288,8/12/21 16:10,,,,,B4,0.4898,,,,,B6,0.3698,,,,,B8,0.2048,,,,,B9,0.139,7.3125,6.625,5.25,3.9375,2.9375,1.8125,B10,0.063,,,,,,,B11,-0.095,7.25,6.0625,5.25,4.5625,3.0625,1.75,B12,-0.235,7.3125,6.25,4.75,3.5625,2.1875,1.375,B13,-0.372,7.0625,6.3125,4.875,3.4375,2.4375,1.625,B14,-0.627,6.625,5.75,4.875,4.1875,3.375,2.75
KL,Pz-5,0.392,8/3/19 17:55,13.449,12.823,10.663,8.344,6.357,5.565,Pz-6,0.4,8/3/19 16:30,12.92,10.81,9.262,7.142,Pz-7,0.39,8/3/19 16:40,10.565,9.386,8.469,6.94,Pz-8,0.291,8/3/19 16:55,11.078,9.879,8.99,7.494,SL-A,A1,0.3053,8/12/21 16:15,,,,,A3,0.1906,,,,,A5,0.15395,,,,,A7,0.1,7.1875,6.25,5.5,4.9375,4.4375,3.75,A8,-0.049,7,6,4.6875,4.1875,3.625,2.6875,A9,-0.147,7.0625,6.375,5.5,4.625,3.1875,2.1875,A10,-0.234,7.125,6.25,4.8125,3.5,2.3125,1.5625,A12,-0.253,6.8125,5.375,3.4375,2.1875,1.4375,1,A13,-0.722,6,5.25,4.125,3.1875,1.875,1.125,SL-B,B2,0.2256,8/12/21 16:15,,,,,B4,0.296125,,,,,B6,0.17295,,,,,B8,0.00795,,,,,B9,0.039,7.25,6.5625,5.25,3.9375,2.9375,1.75,B10,-0.037,,,,,,,B11,-0.195,7.125,6,5.25,4.5625,3,1.6875,B12,-0.335,7.25,6.1875,4.625,3.5,2.125,1.3125,B13,-0.472,7.0625,6.3125,4.75,3.3125,2.375,1.5625,B14,-0.727,6.5,5.625,4.75,4.0625,3.25,2.625
KL,Pz-5,0.652,8/3/19 18:00,13.209,12.751,10.638,8.295,6.357,5.565,Pz-6,,8/3/19 16:35,12.823,10.81,9.238,7.142,Pz-7,,8/3/19 16:45,10.565,9.386,8.469,6.94,Pz-8,,8/3/19 17:00,11.078,9.879,8.99,7.494,SL-A,A1,,8/12/21 16:20,,,,,A3,,,,,,A5,,,,,,A7,0,7.1875,6.25,5.5,4.9375,4.4375,3.75,A8,-0.149,7.0625,6,4.6875,4.1875,3.5625,2.6875,A9,-0.247,7.125,6.375,5.5,4.625,3.125,2.1875,A10,-0.334,7.125,6.25,4.8125,3.4375,2.3125,1.5625,A12,-0.353,6.8125,5.3125,3.4375,2.125,1.4375,1,A13,-0.822,6,5.25,4.125,3.1875,1.875,1.125,SL-B,B2,,8/12/21 16:20,,,,,B4,,,,,,B6,,,,,,B8,,,,,,B9,-0.061,7.3125,6.625,5.25,3.875,2.9375,1.6875,B10,-0.137,7.25,6.5625,5.625,4.25,3.125,2.0625,B11,-0.295,7.125,6.0625,5.1875,4.5,3,1.6875,B12,-0.435,7.1875,6.1875,4.625,3.4375,2.125,1.3125,B13,-0.572,7,6.3125,4.6875,3.3125,2.375,1.5625,B14,-0.827,6.5,5.625,4.6875,4,3.1875,2.5625
KL,Pz-5,0.749,8/3/19 18:05,13.497,12.799,10.638,8.27,6.357,5.565,Pz-6,,8/3/19 16:40,12.896,10.834,9.262,7.142,Pz-7,,8/3/19 16:50,10.565,9.386,8.469,6.94,Pz-8,,8/3/19 17:05,11.078,9.879,8.99,7.494,SL-A,A1,,8/12/21 16:25,,,,,A3,,,,,,A5,,,,,,A7,-0.1,7.1875,6.25,5.5,4.9375,4.4375,3.75,A8,-0.249,7.0625,6.0625,4.75,4.1875,3.5625,2.6875,A9,-0.347,7.125,6.375,5.5,4.625,3.125,2.125,A10,-0.434,7.125,6.25,4.8125,3.4375,2.3125,1.5625,A12,-0.453,6.8125,5.3125,3.4375,2.125,1.375,1,A13,-0.922,6,5.25,4.125,3.1875,1.8125,1.125,SL-B,B2,,8/12/21 16:25,,,,,B4,,,,,,B6,,,,,,B8,,,,,,B9,-0.161,7.3125,6.625,5.25,3.875,2.9375,1.6875,B10,-0.237,7.25,6.625,5.5625,4.25,3.0625,2.0625,B11,-0.395,7.0625,6.0625,5.25,4.5,3,1.6875,B12,-0.535,7.1875,6.1875,4.5625,3.4375,2.125,1.3125,B13,-0.672,7,6.25,4.625,3.3125,2.3125,1.5625,B14,-0.927,6.5,5.5625,4.625,4,3.1875,2.5625
KL,Pz-5,,8/3/19 18:10,13.401,12.799,10.638,8.27,6.357,5.565,Pz-6,,8/3/19 16:45,12.871,10.834,9.262,7.142,Pz-7,,8/3/19 16:55,10.565,9.386,8.469,6.94,Pz-8,,8/3/19 17:10,11.102,9.903,8.99,7.494,SL-A,A1,,8/12/21 16:30,,,,,A3,,,,,,A5,,,,,,A7,,7.1875,6.25,5.5,4.9375,4.4375,3.75,A8,,7.0625,6.0625,4.75,4.1875,3.5625,2.625,A9,,7.125,6.375,5.5,4.625,3.125,2.125,A10,,7.125,6.25,4.8125,3.4375,2.3125,1.5625,A12,,6.8125,5.3125,3.4375,2.125,1.375,1,A13,,6,5.25,4.125,3.1875,1.875,1.125,SL-B,B2,,8/12/21 16:30,,,,,B4,,,,,,B6,,,,,,B8,,,,,,B9,,7.375,6.625,5.25,3.875,2.9375,1.6875,B10,,7.3125,6.625,5.5625,4.25,3.0625,2,B11,,7.125,6.0625,5.1875,4.5,3,1.625,B12,,7.1875,6.1875,4.5625,3.4375,2.0625,1.3125,B13,,7,6.3125,4.625,3.25,2.3125,1.5625,B14,,6.5,5.5625,4.625,3.9375,3.1875,2.5625
KL,Pz-5,,8/3/19 18:15,13.497,12.823,10.663,8.27,6.357,5.565,Pz-6,,8/3/19 16:50,12.871,10.858,9.262,7.142,Pz-7,,8/3/19 17:00,10.59,9.41,8.469,6.94,Pz-8,,8/3/19 17:15,11.102,9.903,8.99,7.519,SL-A,A1,,8/12/21 16:35,,,,,A3,,,,,,A5,,,,,,A7,,7.1875,6.1875,5.5,4.9375,4.4375,3.6875,A8,,7.0625,6.0625,4.75,4.1875,3.5625,2.625,A9,,7.125,6.4375,5.5,4.625,3.125,2.1875,A10,,7.125,6.25,4.8125,3.4375,2.3125,1.5625,A12,,6.8125,5.3125,3.375,2.125,1.375,1,A13,,6,5.25,4.125,3.1875,1.875,1.125,SL-B,B2,,8/12/21 16:35,,,,,B4,,,,,,B6,,,,,,B8,,,,,,B9,,7.3125,6.625,5.1875,3.875,2.875,1.625,B10,,7.25,6.625,5.5625,4.25,3.0625,2,B11,,7.0625,6.0625,5.25,4.5,2.9375,1.625,B12,,7.1875,6.1875,4.5625,3.375,2.0625,1.3125,B13,,7,6.3125,4.5625,3.25,2.3125,1.5,B14,,6.5,5.5625,4.625,3.9375,3.1875,2.5625
KL,Pz-5,,8/3/19 18:20,13.594,12.871,10.663,8.245,6.357,5.565,Pz-6,,8/3/19 16:55,12.847,10.858,9.287,7.142,Pz-7,,8/3/19 17:05,10.59,9.41,8.469,6.94,Pz-8,,8/3/19 17:20,11.102,9.903,8.99,7.494,SL-A,A1,,8/12/21 16:40,,,,,A3,,,,,,A5,,,,,,A7,,7.125,6.1875,5.5,4.9375,4.4375,3.6875,A8,,7.0625,6.125,4.75,4.1875,3.5625,2.625,A9,,7.125,6.4375,5.5,4.625,3.125,2.125,A10,,7.125,6.25,4.8125,3.4375,2.3125,1.5625,A12,,6.8125,5.3125,3.375,2.125,1.375,1,A13,,6,5.25,4.125,3.1875,1.875,1.125,SL-B,B2,,8/12/21 16:40,,,,,B4,,,,,,B6,,,,,,B8,,,,,,B9,,7.375,6.625,5.25,3.875,2.875,1.625,B10,,7.3125,6.625,5.5625,4.25,3,2,B11,,7.0625,6.0625,5.1875,4.5,2.9375,1.625,B12,,7.1875,6.125,4.5,3.375,2.0625,1.25,B13,,7,6.3125,4.5625,3.25,2.3125,1.5,B14,,6.5,5.5,4.625,3.9375,3.125,2.5625
KL,Pz-5,,8/3/19 18:25,13.473,12.847,10.687,8.245,6.357,5.565,Pz-6,,8/3/19 17:00,12.823,10.883,9.287,7.167,Pz-7,,8/3/19 17:10,10.614,9.41,8.469,6.94,Pz-8,,8/3/19 17:25,11.102,9.928,9.015,7.519,SL-A,A1,,8/12/21 16:45,,,,,A3,,,,,,A5,,,,,,A7,,7.0625,6.1875,5.4375,4.9375,4.375,3.6875,A8,,7,6.125,4.8125,4.1875,3.5625,2.625,A9,,7.125,6.4375,5.5,4.625,3.125,2.125,A10,,7.125,6.25,4.8125,3.375,2.3125,1.5625,A12,,6.8125,5.3125,3.375,2.125,1.375,1,A13,,6,5.25,4.125,3.125,1.8125,1.125,SL-B,B2,,8/12/21 16:45,5.257,3.854,2.797,1.099,B4,,,,,,B6,,,,,,B8,,,,,,B9,,7.3125,6.625,5.25,3.875,2.875,1.625,B10,,7.3125,6.625,5.5625,4.1875,3.0625,1.9375,B11,,7.0625,6.0625,5.1875,4.5,2.9375,1.625,B12,,7.1875,6.125,4.5,3.375,2.0625,1.3125,B13,,6.9375,6.3125,4.5625,3.1875,2.3125,1.5,B14,,6.5,5.5625,4.625,3.9375,3.1875,2.5625
